id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
32,1991,0,0,.0903827,1,.373934,1,3,-.2666817,.0461535
32,1992,0,0,.4812958,1,-.0927225,1,3,.214614,-.0465691
33,1979,0,0,-.0289321,1,.1662003,1,3,.0614724,.1456555
33,1980,0,0,.0407901,1,.1799954,1,3,.1022625,.3256508
33,1981,0,0,-.6525632,1,-.4994913,1,3,-.5503007,-.1738405
33,1982,0,0,.0954047,1,-.1439817,1,3,-.4548961,-.3178222
33,1983,0,0,.3603089,1,-.0044729,1,3,-.0945872,-.3222951
33,1984,0,0,-.1367729,1,.6563401,1,3,-.2313601,.334045
33,1985,0,0,.106142,1,.2058989,1,3,-.1252181,.5399439
33,1986,0,0,-.9180447,1,-.7272304,1,3,-1.043263,-.1872865
33,1987,0,1,.1378662,1,0,0,3,-.9053966,
33,1988,0,1,1.169722,1,0,0,3,.264325,
33,1989,0,1,-1.241865,1,0,0,3,-.9775397,.4050252
33,1990,0,0,-.4409444,1,-.02817,1,3,-1.418484,.3768552
33,1991,0,0,.3505374,1,-.2005203,1,3,-1.067947,.176335
